coo: 51.9251096_4.4755567;E 00:00:00;A 00:00:00;E 01:00:00;A 01:00:00;E 02:00:00;A 02:00:00;E 03:00:00;A 03:00:00;E 04:00:00;A 04:00:00;E 05:00:00;A 05:00:00;E 06:00:00;A 06:00:00;E 07:00:00;A 07:00:00;E 08:00:00;A 08:00:00;E 09:00:00;A 09:00:00;E 10:00:00;A 10:00:00;E 11:00:00;A 11:00:00;E 12:00:00;A 12:00:00;E 13:00:00;A 13:00:00;E 14:00:00;A 14:00:00;E 15:00:00;A 15:00:00;E 16:00:00;A 16:00:00;E 17:00:00;A 17:00:00;E 18:00:00;A 18:00:00;E 19:00:00;A 19:00:00;E 20:00:00;A 20:00:00;E 21:00:00;A 21:00:00;E 22:00:00;A 22:00:00;E 23:00:00;A 23:00:00;
2023-05-26;--;--;--;--;--;--;--;--;--;--;2.40;57.99;10.68;69.35;19.61;80.53;28.83;92.08;37.97;104.81;46.52;119.83;53.70;138.66;58.27;162.45;58.94;189.45;55.45;214.63;48.93;234.94;40.70;250.96;31.69;264.25;22.46;276.08;13.42;287.31;4.92;298.56;--;--;--;--;--;--;
2023-05-27;--;--;--;--;--;--;--;--;--;--;2.53;57.87;10.80;69.22;19.72;80.39;28.94;91.93;38.08;104.64;46.64;119.65;53.84;138.49;58.44;162.34;59.11;189.44;55.62;214.70;49.09;235.04;40.85;251.07;31.83;264.36;22.61;276.17;13.57;287.39;5.08;298.64;--;--;--;--;--;--;
2023-05-28;--;--;--;--;--;--;--;--;--;--;2.65;57.76;10.92;69.09;19.83;80.25;29.04;91.78;38.19;104.48;46.76;119.48;53.97;138.33;58.59;162.22;59.28;189.42;55.78;214.76;49.24;235.14;41.00;251.18;31.98;264.46;22.75;276.27;13.72;287.48;5.22;298.71;--;--;--;--;--;--;
2023-05-29;--;--;--;--;--;--;--;--;--;--;2.77;57.64;11.02;68.97;19.93;80.11;29.14;91.64;38.29;104.32;46.88;119.31;54.10;138.17;58.74;162.10;59.44;189.39;55.94;214.82;49.39;235.24;41.14;251.28;32.11;264.55;22.88;276.35;13.86;287.55;5.37;298.77;--;--;--;--;--;--;
2023-05-30;--;--;--;--;--;--;--;--;--;--;2.88;57.53;11.12;68.85;20.02;79.98;29.24;91.50;38.39;104.17;46.98;119.15;54.22;138.00;58.88;161.98;59.59;189.36;56.09;214.87;49.53;235.32;41.27;251.37;32.25;264.64;23.02;276.44;13.99;287.63;5.51;298.84;--;--;--;--;--;--;
2023-05-31;--;--;--;--;--;--;--;--;--;--;2.98;57.42;11.22;68.73;20.11;79.85;29.32;91.36;38.48;104.02;47.08;118.98;54.34;137.84;59.02;161.86;59.74;189.33;56.24;214.91;49.67;235.40;41.41;251.46;32.38;264.73;23.15;276.51;14.12;287.69;5.65;298.89;--;--;--;--;--;--;
2023-06-01;--;--;--;--;--;--;--;--;--;--;3.08;57.31;11.31;68.61;20.20;79.73;29.41;91.22;38.56;103.87;47.17;118.82;54.45;137.68;59.15;161.74;59.88;189.29;56.38;214.95;49.80;235.47;41.54;251.54;32.50;264.80;23.27;276.58;14.25;287.76;5.78;298.94;--;--;--;--;--;--;
2023-06-02;--;--;--;--;--;--;--;--;--;--;3.17;57.21;11.39;68.50;20.28;79.61;29.48;91.09;38.64;103.72;47.26;118.66;54.55;137.52;59.27;161.62;60.02;189.25;56.51;214.98;49.93;235.54;41.66;251.61;32.63;264.88;23.40;276.65;14.38;287.81;5.90;298.99;--;--;--;--;--;--;
2023-06-03;--;--;--;--;--;--;--;--;--;--;3.25;57.11;11.47;68.39;20.35;79.49;29.55;90.96;38.72;103.58;47.34;118.51;54.65;137.37;59.38;161.50;60.15;189.20;56.64;215.00;50.06;235.60;41.78;251.68;32.74;264.94;23.52;276.71;14.50;287.86;6.03;299.03;--;--;--;--;--;--;
2023-06-04;--;--;--;--;--;--;--;--;--;--;3.33;57.01;11.54;68.28;20.41;79.37;29.62;90.83;38.78;103.44;47.42;118.36;54.74;137.21;59.49;161.37;60.27;189.15;56.77;215.02;50.18;235.65;41.90;251.74;32.86;265.00;23.63;276.76;14.61;287.91;6.15;299.07;--;--;--;--;--;--;
2023-06-05;--;--;--;--;--;--;--;--;--;--;3.41;56.91;11.61;68.18;20.47;79.26;29.67;90.71;38.84;103.31;47.49;118.21;54.82;137.06;59.59;161.25;60.39;189.09;56.89;215.03;50.30;235.69;42.01;251.79;32.97;265.05;23.74;276.81;14.72;287.95;6.26;299.10;--;--;--;--;--;--;
2023-06-06;--;--;--;--;--;--;--;--;--;--;3.47;56.81;11.67;68.08;20.53;79.15;29.73;90.59;38.90;103.18;47.55;118.07;54.90;136.91;59.69;161.12;60.50;189.03;57.00;215.04;50.41;235.73;42.12;251.84;33.07;265.10;23.85;276.85;14.83;287.98;6.37;299.13;--;--;--;--;--;--;
2023-06-07;--;--;--;--;--;--;--;--;--;--;3.53;56.72;11.72;67.98;20.58;79.05;29.77;90.48;38.95;103.05;47.60;117.93;54.97;136.77;59.78;160.99;60.60;188.97;57.11;215.03;50.51;235.76;42.22;251.88;33.18;265.14;23.95;276.88;14.93;288.02;6.47;299.15;--;--;--;--;--;--;
2023-06-08;--;--;--;--;--;--;--;--;--;--;3.59;56.63;11.77;67.88;20.62;78.95;29.82;90.37;38.99;102.93;47.65;117.80;55.03;136.63;59.86;160.87;60.70;188.90;57.21;215.02;50.61;235.78;42.32;251.91;33.27;265.17;24.05;276.92;15.03;288.04;6.57;299.17;--;--;--;--;--;--;
2023-06-09;--;--;--;--;--;--;--;--;--;--;3.64;56.55;11.81;67.79;20.66;78.85;29.85;90.26;39.03;102.82;47.70;117.67;55.09;136.49;59.93;160.75;60.79;188.82;57.31;215.01;50.71;235.80;42.42;251.94;33.37;265.20;24.14;276.94;15.13;288.06;6.67;299.18;--;--;--;--;--;--;
2023-06-10;--;--;--;--;--;--;--;--;--;--;3.68;56.46;11.84;67.70;20.69;78.75;29.88;90.16;39.06;102.70;47.73;117.54;55.14;136.35;60.00;160.62;60.87;188.75;57.40;214.99;50.80;235.81;42.51;251.96;33.46;265.22;24.23;276.96;15.22;288.08;6.76;299.19;-0.81;310.75;--;--;--;--;
2023-06-11;--;--;--;--;--;--;--;--;--;--;3.72;56.38;11.87;67.62;20.71;78.66;29.90;90.07;39.08;102.60;47.77;117.42;55.18;136.22;60.06;160.50;60.95;188.67;57.48;214.96;50.89;235.81;42.59;251.97;33.54;265.24;24.31;276.97;15.30;288.08;6.84;299.19;-0.73;310.74;--;--;--;--;
2023-06-12;--;--;--;--;--;--;--;--;--;--;3.75;56.31;11.90;67.54;20.73;78.58;29.92;89.97;39.10;102.49;47.79;117.31;55.22;136.09;60.12;160.38;61.02;188.59;57.56;214.93;50.97;235.80;42.67;251.98;33.62;265.25;24.39;276.98;15.38;288.09;6.92;299.19;-0.65;310.73;--;--;--;--;
2023-06-13;--;--;--;--;--;--;--;--;--;--;3.77;56.23;11.92;67.46;20.75;78.50;29.94;89.89;39.12;102.40;47.81;117.20;55.25;135.97;60.16;160.26;61.08;188.50;57.64;214.89;51.04;235.79;42.75;251.98;33.70;265.25;24.47;276.99;15.45;288.09;6.99;299.19;-0.58;310.72;--;--;--;--;
2023-06-14;--;--;--;--;--;--;--;--;--;--;3.79;56.16;11.93;67.39;20.76;78.42;29.94;89.80;39.13;102.30;47.83;117.09;55.27;135.85;60.20;160.14;61.14;188.41;57.70;214.84;51.11;235.78;42.82;251.97;33.77;265.25;24.54;276.98;15.52;288.08;7.06;299.18;-0.51;310.71;--;--;--;--;
2023-06-15;--;--;--;--;--;--;--;--;--;--;3.80;56.09;11.94;67.32;20.76;78.35;29.95;89.72;39.13;102.22;47.83;116.99;55.29;135.74;60.24;160.02;61.19;188.32;57.76;214.79;51.18;235.75;42.88;251.96;33.83;265.24;24.60;276.97;15.59;288.07;7.13;299.16;-0.45;310.69;--;--;--;--;
2023-06-16;--;--;--;--;--;--;--;--;--;--;3.81;56.03;11.94;67.25;20.76;78.28;29.94;89.65;39.13;102.14;47.84;116.90;55.30;135.63;60.26;159.91;61.23;188.23;57.82;214.73;51.24;235.72;42.94;251.94;33.89;265.23;24.66;276.96;15.65;288.06;7.19;299.14;-0.39;310.66;--;--;--;--;
2023-06-17;--;--;--;--;--;--;--;--;--;--;3.81;55.97;11.93;67.19;20.75;78.22;29.93;89.58;39.12;102.06;47.83;116.81;55.31;135.53;60.28;159.79;61.27;188.13;57.87;214.67;51.29;235.68;43.00;251.92;33.95;265.21;24.72;276.94;15.70;288.04;7.24;299.12;-0.34;310.63;--;--;--;--;
2023-06-18;--;--;--;--;--;--;--;--;--;--;3.80;55.91;11.92;67.14;20.74;78.16;29.92;89.52;39.11;101.99;47.82;116.73;55.30;135.43;60.30;159.68;61.30;188.03;57.91;214.60;51.34;235.64;43.05;251.89;34.00;265.18;24.77;276.92;15.75;288.01;7.29;299.09;-0.29;310.60;--;--;--;--;
2023-06-19;--;--;--;--;--;--;--;--;--;--;3.79;55.86;11.91;67.08;20.72;78.10;29.90;89.46;39.09;101.92;47.81;116.65;55.30;135.34;60.30;159.58;61.32;187.93;57.94;214.52;51.38;235.58;43.09;251.85;34.05;265.15;24.81;276.89;15.80;287.99;7.33;299.06;-0.25;310.57;--;--;--;--;
2023-06-20;--;--;--;--;--;--;--;--;--;--;3.78;55.81;11.89;67.03;20.70;78.06;29.88;89.41;39.07;101.87;47.79;116.58;55.28;135.25;60.30;159.47;61.34;187.83;57.97;214.44;51.42;235.53;43.13;251.80;34.09;265.11;24.86;276.86;15.84;287.95;7.37;299.03;-0.22;310.53;--;--;--;--;
2023-06-21;--;--;--;--;--;--;--;--;--;--;3.75;55.77;11.86;66.99;20.67;78.01;29.85;89.36;39.04;101.81;47.76;116.52;55.27;135.17;60.29;159.37;61.34;187.73;58.00;214.36;51.45;235.46;43.17;251.75;34.12;265.07;24.89;276.82;15.87;287.91;7.40;298.99;-0.19;310.49;--;--;--;--;
2023-06-22;--;--;--;--;--;--;--;--;--;--;3.73;55.73;11.83;66.95;20.64;77.97;29.81;89.32;39.00;101.77;47.73;116.46;55.24;135.09;60.28;159.28;61.35;187.62;58.01;214.27;51.47;235.39;43.20;251.70;34.15;265.02;24.92;276.77;15.90;287.87;7.42;298.94;-0.17;310.44;--;--;--;--;
2023-06-23;--;--;--;--;--;--;--;--;--;--;3.69;55.69;11.79;66.92;20.60;77.94;29.77;89.28;38.96;101.72;47.69;116.41;55.21;135.02;60.26;159.18;61.34;187.52;58.02;214.18;51.49;235.32;43.22;251.64;34.18;264.97;24.95;276.73;15.92;287.82;7.44;298.90;-0.16;310.39;--;--;--;--;
2023-06-24;--;--;--;--;--;--;--;--;--;--;3.65;55.65;11.75;66.89;20.55;77.91;29.73;89.25;38.92;101.69;47.65;116.36;55.17;134.96;60.23;159.09;61.33;187.41;58.02;214.08;51.51;235.24;43.24;251.57;34.20;264.91;24.97;276.67;15.94;287.77;7.46;298.85;-0.15;310.34;--;--;--;--;
2023-06-25;--;--;--;--;--;--;--;--;--;--;3.61;55.63;11.71;66.86;20.51;77.88;29.68;89.23;38.87;101.66;47.60;116.32;55.13;134.90;60.20;159.01;61.31;187.31;58.02;213.98;51.51;235.15;43.25;251.50;34.21;264.85;24.98;276.61;15.95;287.72;7.47;298.79;-0.15;310.29;--;--;--;--;
2023-06-26;--;--;--;--;--;--;--;--;--;--;3.56;55.60;11.65;66.84;20.45;77.86;29.63;89.21;38.82;101.64;47.55;116.29;55.08;134.85;60.16;158.93;61.28;187.20;58.01;213.87;51.51;235.06;43.26;251.42;34.22;264.78;24.99;276.55;15.96;287.66;7.47;298.73;-0.15;310.23;--;--;--;--;
2023-06-27;--;--;--;--;--;--;--;--;--;--;3.50;55.58;11.60;66.82;20.39;77.85;29.57;89.20;38.76;101.62;47.49;116.27;55.02;134.81;60.11;158.85;61.25;187.09;57.99;213.76;51.51;234.96;43.26;251.34;34.23;264.71;24.99;276.48;15.96;287.59;7.47;298.67;-0.16;310.17;--;--;--;--;
2023-06-28;--;--;--;--;--;--;--;--;--;--;3.44;55.56;11.53;66.81;20.33;77.84;29.50;89.19;38.69;101.61;47.43;116.25;54.96;134.77;60.06;158.78;61.21;186.99;57.97;213.64;51.50;234.86;43.26;251.25;34.22;264.63;24.99;276.41;15.96;287.52;7.46;298.60;-0.17;310.10;--;--;--;--;
2023-06-29;--;--;--;--;--;--;--;--;--;--;3.38;55.55;11.47;66.80;20.26;77.84;29.44;89.19;38.63;101.61;47.36;116.24;54.90;134.74;60.00;158.72;61.16;186.88;57.94;213.53;51.48;234.75;43.25;251.15;34.22;264.54;24.98;276.33;15.95;287.45;7.44;298.54;-0.19;310.04;--;--;--;--;
2023-06-30;--;--;--;--;--;--;--;--;--;--;3.30;55.54;11.39;66.80;20.19;77.84;29.36;89.19;38.55;101.61;47.29;116.24;54.82;134.72;59.93;158.66;61.11;186.78;57.90;213.41;51.46;234.64;43.23;251.05;34.20;264.46;24.97;276.25;15.93;287.38;7.42;298.46;-0.22;309.97;--;--;--;--;
2023-07-01;--;--;--;--;--;--;--;--;--;--;3.23;55.54;11.32;66.80;20.11;77.85;29.29;89.20;38.48;101.62;47.21;116.24;54.75;134.70;59.86;158.60;61.05;186.68;57.86;213.28;51.43;234.52;43.21;250.95;34.18;264.36;24.95;276.17;15.91;287.30;7.39;298.39;-0.26;309.89;--;--;--;--;
2023-07-02;--;--;--;--;--;--;--;--;--;--;3.15;55.54;11.24;66.81;20.03;77.86;29.21;89.22;38.40;101.64;47.13;116.25;54.66;134.69;59.78;158.55;60.98;186.57;57.81;213.16;51.39;234.40;43.18;250.84;34.16;264.27;24.93;276.08;15.88;287.21;7.36;298.31;-0.30;309.82;--;--;--;--;
2023-07-03;--;--;--;--;--;--;--;--;--;--;3.06;55.55;11.15;66.82;19.95;77.88;29.12;89.24;38.31;101.66;47.04;116.27;54.58;134.69;59.69;158.50;60.91;186.47;57.75;213.03;51.35;234.27;43.15;250.73;34.13;264.16;24.89;275.99;15.85;287.13;7.32;298.23;-0.34;309.74;--;--;--;--;
2023-07-04;--;--;--;--;--;--;--;--;--;--;2.97;55.56;11.06;66.84;19.86;77.90;29.03;89.27;38.22;101.69;46.95;116.29;54.48;134.70;59.60;158.46;60.83;186.38;57.69;212.90;51.30;234.14;43.11;250.61;34.09;264.06;24.86;275.89;15.81;287.04;7.28;298.14;-0.40;309.66;--;--;--;--;
2023-07-05;--;--;--;--;--;--;--;--;--;--;2.87;55.57;10.96;66.86;19.76;77.93;28.94;89.30;38.12;101.72;46.85;116.32;54.38;134.71;59.50;158.43;60.74;186.28;57.62;212.77;51.25;234.01;43.06;250.49;34.05;263.95;24.82;275.79;15.76;286.94;7.22;298.05;-0.45;309.58;--;--;--;--;
2023-07-06;--;--;--;--;--;--;--;--;--;--;2.77;55.59;10.86;66.89;19.67;77.96;28.84;89.34;38.03;101.77;46.75;116.36;54.28;134.73;59.40;158.40;60.65;186.18;57.54;212.63;51.18;233.87;43.01;250.36;34.00;263.83;24.77;275.68;15.71;286.85;7.17;297.96;-0.52;309.49;--;--;--;--;
2023-07-07;--;--;--;--;--;--;--;--;--;--;2.66;55.61;10.76;66.93;19.56;78.00;28.74;89.38;37.92;101.81;46.65;116.41;54.17;134.76;59.29;158.38;60.55;186.09;57.46;212.50;51.12;233.73;42.95;250.23;33.95;263.71;24.71;275.58;15.65;286.75;7.10;297.87;-0.59;309.41;--;--;--;--;
2023-07-08;--;--;--;--;--;--;--;--;--;--;2.55;55.64;10.65;66.96;19.46;78.05;28.63;89.44;37.82;101.87;46.54;116.46;54.06;134.79;59.17;158.36;60.44;186.00;57.37;212.36;51.04;233.59;42.89;250.10;33.89;263.59;24.66;275.46;15.59;286.64;7.03;297.77;-0.67;309.32;--;--;--;--;
2023-07-09;--;--;--;--;--;--;--;--;--;--;2.44;55.68;10.54;67.01;19.35;78.10;28.52;89.49;37.70;101.93;46.42;116.52;53.94;134.83;59.05;158.35;60.32;185.91;57.27;212.22;50.96;233.44;42.82;249.96;33.83;263.47;24.59;275.35;15.52;286.54;6.96;297.67;-0.75;309.23;--;--;--;--;
2023-07-10;--;--;--;--;--;--;--;--;--;--;2.32;55.71;10.42;67.06;19.23;78.16;28.41;89.56;37.59;102.00;46.31;116.59;53.81;134.88;58.92;158.35;60.20;185.83;57.17;212.08;50.88;233.29;42.74;249.82;33.75;263.34;24.52;275.23;15.44;286.43;6.88;297.57;--;--;--;--;--;--;
2023-07-11;--;--;--;--;--;--;--;--;--;--;2.19;55.76;10.30;67.11;19.11;78.22;28.29;89.63;37.47;102.08;46.18;116.66;53.68;134.93;58.79;158.35;60.08;185.75;57.06;211.94;50.78;233.14;42.66;249.67;33.68;263.21;24.44;275.11;15.36;286.32;6.79;297.47;--;--;--;--;--;--;
2023-07-12;--;--;--;--;--;--;--;--;--;--;2.06;55.81;10.18;67.17;18.99;78.29;28.17;89.70;37.35;102.16;46.06;116.74;53.55;135.00;58.65;158.36;59.94;185.67;56.94;211.81;50.68;232.98;42.57;249.52;33.59;263.07;24.36;274.98;15.28;286.20;6.70;297.36;--;--;--;--;--;--;
2023-07-13;--;--;--;--;--;--;--;--;--;--;1.93;55.86;10.05;67.23;18.87;78.36;28.04;89.79;37.22;102.25;45.92;116.83;53.41;135.07;58.51;158.37;59.80;185.60;56.82;211.67;50.58;232.83;42.48;249.37;33.50;262.93;24.27;274.86;15.18;286.08;6.60;297.25;--;--;--;--;--;--;
2023-07-14;--;--;--;--;--;--;--;--;--;--;1.79;55.92;9.92;67.30;18.74;78.44;27.92;89.87;37.09;102.34;45.79;116.92;53.27;135.14;58.36;158.39;59.65;185.52;56.69;211.53;50.46;232.67;42.38;249.22;33.41;262.79;24.17;274.73;15.08;285.96;6.49;297.14;--;--;--;--;--;--;
2023-07-15;--;--;--;--;--;--;--;--;--;--;1.65;55.98;9.78;67.38;18.60;78.53;27.79;89.97;36.96;102.44;45.65;117.02;53.12;135.23;58.20;158.42;59.50;185.46;56.55;211.39;50.34;232.51;42.27;249.06;33.31;262.64;24.07;274.59;14.98;285.84;6.38;297.03;--;--;--;--;--;--;
2023-07-16;--;--;--;--;--;--;--;--;--;--;1.51;56.05;9.64;67.46;18.47;78.62;27.65;90.07;36.82;102.55;45.51;117.13;52.97;135.32;58.04;158.45;59.34;185.39;56.41;211.25;50.22;232.34;42.16;248.90;33.20;262.50;23.97;274.46;14.87;285.72;6.26;296.92;--;--;--;--;--;--;
2023-07-17;--;--;--;--;--;--;--;--;--;--;1.36;56.12;9.50;67.54;18.33;78.72;27.51;90.17;36.68;102.66;45.36;117.25;52.81;135.42;57.87;158.49;59.18;185.33;56.26;211.11;50.09;232.18;42.04;248.74;33.09;262.35;23.85;274.32;14.75;285.59;6.13;296.80;--;--;--;--;--;--;
2023-07-18;--;--;--;--;--;--;--;--;--;--;1.20;56.20;9.35;67.63;18.18;78.82;27.37;90.29;36.54;102.78;45.21;117.37;52.65;135.52;57.70;158.53;59.01;185.27;56.10;210.97;49.95;232.01;41.91;248.58;32.97;262.19;23.73;274.18;14.63;285.46;6.00;296.68;--;--;--;--;--;--;
2023-07-19;--;--;--;--;--;--;--;--;--;--;1.05;56.28;9.20;67.73;18.04;78.92;27.23;90.40;36.39;102.91;45.06;117.50;52.48;135.63;57.52;158.58;58.83;185.22;55.94;210.83;49.80;231.85;41.78;248.41;32.84;262.04;23.61;274.04;14.50;285.33;5.87;296.56;--;--;--;--;--;--;
2023-07-20;--;--;--;--;--;--;--;--;--;--;0.88;56.37;9.04;67.83;17.89;79.04;27.08;90.53;36.24;103.04;44.90;117.63;52.31;135.75;57.34;158.64;58.64;185.17;55.77;210.70;49.65;231.68;41.64;248.25;32.71;261.88;23.48;273.89;14.37;285.19;5.73;296.44;--;--;--;--;--;--;
2023-07-21;--;--;--;--;--;--;--;--;--;--;0.72;56.46;8.89;67.94;17.74;79.15;26.93;90.66;36.09;103.18;44.74;117.78;52.14;135.87;57.15;158.70;58.46;185.13;55.59;210.57;49.50;231.51;41.50;248.08;32.57;261.72;23.34;273.75;14.22;285.06;5.58;296.32;--;--;--;--;--;--;
2023-07-22;--;--;--;--;--;--;--;--;--;--;0.55;56.56;8.72;68.05;17.58;79.28;26.77;90.79;35.93;103.32;44.57;117.92;51.96;136.00;56.96;158.77;58.26;185.09;55.41;210.43;49.33;231.34;41.35;247.91;32.43;261.56;23.20;273.60;14.08;284.92;5.42;296.19;--;--;--;--;--;--;
2023-07-23;--;--;--;--;--;--;--;--;--;--;0.38;56.66;8.56;68.16;17.42;79.41;26.62;90.93;35.77;103.47;44.40;118.08;51.78;136.14;56.76;158.84;58.06;185.05;55.22;210.30;49.16;231.18;41.19;247.74;32.28;261.40;23.05;273.45;13.93;284.78;5.26;296.07;--;--;--;--;--;--;
2023-07-24;--;--;--;--;--;--;--;--;--;--;0.20;56.77;8.39;68.29;17.26;79.54;26.46;91.08;35.61;103.63;44.23;118.24;51.59;136.28;56.56;158.92;57.85;185.02;55.03;210.17;48.99;231.01;41.03;247.56;32.13;261.24;22.90;273.29;13.77;284.64;5.10;295.94;--;--;--;--;--;--;
2023-07-25;--;--;--;--;--;--;--;--;--;--;0.03;56.88;8.22;68.41;17.10;79.68;26.29;91.23;35.44;103.79;44.06;118.40;51.40;136.43;56.35;159.01;57.64;184.99;54.83;210.05;48.80;230.84;40.86;247.39;31.97;261.07;22.74;273.14;13.60;284.50;4.93;295.81;--;--;--;--;--;--;
2023-07-26;--;--;--;--;--;--;--;--;--;--;-0.16;57.00;8.05;68.54;16.93;79.83;26.13;91.39;35.27;103.96;43.88;118.58;51.20;136.59;56.14;159.10;57.42;184.96;54.62;209.92;48.62;230.67;40.69;247.21;31.80;260.90;22.57;272.98;13.43;284.36;4.75;295.68;--;--;--;--;--;--;
2023-07-27;--;--;--;--;--;--;--;--;--;--;-0.34;57.12;7.87;68.68;16.76;79.98;25.96;91.55;35.10;104.13;43.69;118.75;51.00;136.75;55.92;159.19;57.20;184.94;54.41;209.80;48.42;230.50;40.51;247.04;31.63;260.73;22.40;272.83;13.26;284.21;4.57;295.55;--;--;--;--;--;--;
2023-07-28;--;--;--;--;--;--;--;--;--;--;-0.53;57.25;7.70;68.82;16.59;80.13;25.79;91.72;34.93;104.31;43.51;118.94;50.80;136.92;55.70;159.29;56.97;184.92;54.19;209.68;48.22;230.33;40.32;246.86;31.45;260.56;22.22;272.67;13.08;284.07;4.38;295.41;--;--;--;--;--;--;
2023-07-29;--;--;--;--;--;--;--;--;--;--;-0.72;57.38;7.51;68.97;16.41;80.29;25.62;91.89;34.75;104.50;43.32;119.13;50.59;137.09;55.47;159.40;56.74;184.91;53.97;209.56;48.02;230.16;40.13;246.68;31.26;260.39;22.04;272.51;12.89;283.92;4.18;295.28;--;--;--;--;--;--;
2023-07-30;--;--;--;--;--;--;--;--;--;--;--;--;7.33;69.12;16.23;80.46;25.44;92.07;34.57;104.69;43.13;119.32;50.38;137.27;55.24;159.51;56.50;184.90;53.74;209.44;47.80;230.00;39.93;246.50;31.07;260.22;21.85;272.35;12.70;283.77;3.98;295.15;--;--;--;--;--;--;
